date,purchase_price,sale_price
2001-07-02,55.07126782,40.92
2001-07-03,55.31884826,41
2001-07-04,54.74434783,41
2001-07-05,54.08995041,40.98
2001-07-06,53.41348315,41.04
2001-07-10,53.22234637,40.99
2001-07-11,52.74079875,40.97
2001-07-12,52.29025319,41
2001-07-13,52.40775939,41.01
2001-07-16,52.55702147,41.11
2001-07-17,52.75001405,41.17
2001-07-18,52.60699301,41.2
2001-07-19,53.05316456,41.48
2001-07-20,52.68870832,41.58
2001-07-23,52.26550827,41.76
2001-07-24,52.55730939,41.84
2001-07-25,53.15747448,41.97
2001-07-26,53.05397727,42.23
2001-07-27,53.51707234,42.27
2001-07-30,54.70104895,42.35
2001-07-31,54.13065903,42.4
2001-08-01,54.58064516,42.4
2001-08-02,54.33180516,42.37
2001-08-03,53.70254958,42.4
2001-08-06,53.9184136,42.38
2001-08-07,53.97443182,42.28
2001-08-08,53.81709402,42.34
2001-08-09,54.08661282,42.3
2001-08-10,54.24669301,42.27
2001-08-13,54.39393065,42.25
2001-08-14,54.04285714,42.18
